ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
R-HSA-5683826	Surfactant metabolism	21	0.648484083	2.987200203	0.000124875	0.024510718	0.017364006	520	"tags=52%, list=4%, signal=50%"	10568/6439/9476/729238/1512/1755/6441/653509/21/2627/6440
R-HSA-913709	O-linked glycosylation of mucins	38	0.453805356	2.575628246	0.000115154	0.024510718	0.017364006	2780	"tags=58%, list=24%, signal=44%"	4582/55568/256435/9245/93010/63917/79695/143662/11227/2591/56913/2650/6487/146712/27090/2590/10331/84752/51809/9334/94025/6480
R-HSA-909733	Interferon alpha/beta signaling	54	0.365437287	2.33940834	0.000109806	0.024510718	0.017364006	3839	"tags=61%, list=33%, signal=41%"	8519/91543/9636/4599/3434/3429/2537/3106/3105/3107/10410/3437/25939/1958/4940/54739/3433/103/24138/10581/4600/8638/4938/4939/3665/8651/5770/684/3669/3455/11274/6041/3430
R-HSA-425366	"Transport of bile salts and organic acids, metal ions and amine compounds"	42	0.391556392	2.29938726	0.000339905	0.024510718	0.017364006	2404	"tags=50%, list=21%, signal=40%"	9194/6533/6571/254428/64116/5002/133418/6584/6581/55244/55356/26266/64924/9843/126969/30061/57153/1356/6536/84102/6583
R-HSA-5173105	O-linked glycosylation	66	0.326650108	2.218963926	0.000213835	0.024510718	0.017364006	2805	"tags=45%, list=24%, signal=35%"	4582/79875/55568/256435/9245/93010/9719/63917/79695/143662/11227/55624/54507/2591/56913/2650/6487/146712/27090/2590/10331/84752/81794/56999/51809/1605/9334/94025/6480/55901
R-HSA-5576892	Phase 0 - rapid depolarisation	18	0.50896913	2.213558539	0.000768541	0.024510718	0.017364006	386	"tags=39%, list=3%, signal=38%"	2258/9254/6323/775/6332/2259/782
R-HSA-5668914	Diseases of metabolism	187	0.254969876	2.201704328	0.000100543	0.024510718	0.017364006	3939	"tags=50%, list=34%, signal=34%"	10568/6439/4582/729238/79875/6385/6441/653509/21/9719/54344/2239/95/6440/4166/79695/31/4128/2678/143662/5549/2582/2328/326625/2799/55624/3425/6382/54507/56052/1634/2719/3373/2591/378884/4552/2232/4853/8818/56922/56913/2588/2990/6487/2683/5095/3423/3141/6916/353/5091/51181/92579/633/91869/81794/4958/199857/56999/166785/1605/113612/64087/11285/2720/23169/94025/9420/29929/55901/4669/120227/3074/4548/2592/9672/10417/6448/4060/126792/1798/9509/25974/11253/686/4969/7314/79087/57188/2132/10418/138050/9060
R-HSA-8978868	Fatty acid metabolism	130	0.265989912	2.137181842	0.000101906	0.024510718	0.017364006	4924	"tags=62%, list=42%, signal=36%"	55289/3248/247/51703/1580/6296/31/2678/5730/3295/6584/5743/3033/32/51422/641371/8309/33/80221/10449/215/23600/5095/1962/1376/6342/10455/34/224/79777/6916/26063/5446/1632/283927/60481/58526/2879/51144/117145/79993/166785/30/2053/113612/2876/79071/11001/2687/145482/55825/5321/4048/35/79966/5445/23417/2180/3030/1666/64834/10965/241/5264/1573/122970/27349/2166/5538/197322/2181/158584/37/4706/9261/10005/11000/6256/58488/55856
R-HSA-8863795	Downregulation of ERBB2 signaling	24	0.429219321	2.077221145	0.002203722	0.024510718	0.017364006	4771	"tags=75%, list=41%, signal=45%"	2066/1956/1950/685/10000/207/1839/5782/3084/10273/2064/9101/7314/26469/10193/3320/2065/208
R-HSA-397014	Muscle contraction	111	0.26383023	2.051262009	0.000615258	0.024510718	0.017364006	4265	"tags=53%, list=36%, signal=34%"	2258/3775/10580/9254/6323/775/6332/4881/2259/782/476/8645/25937/4629/481/10398/3777/783/3672/217/3710/7220/204851/1674/5350/3784/309/7414/4882/7273/817/140465/72/1193/59/10174/493/7168/8291/8850/2977/25802/6546/7134/301/5829/3752/6910/29098/10768/801/4638/84876/8654/23704/5566/7431/10627/28996
