ID,setSize,enrichmentScore,NES,pvalue,qvalue,Description
R-HSA-5683826,21,0.648484083,2.987200203,0.000124875,0.017364006,Surfactant metabolism
R-HSA-913709,38,0.453805356,2.575628246,0.000115154,0.017364006,O-linked glycosylation of mucins
R-HSA-909733,54,0.365437287,2.33940834,0.000109806,0.017364006,Interferon alpha/beta signaling
R-HSA-425366,42,0.391556392,2.29938726,0.000339905,0.017364006,"Transport of bile salts and organic acids, metal ions and amine compounds"
R-HSA-5173105,66,0.326650108,2.218963926,0.000213835,0.017364006,O-linked glycosylation
R-HSA-5576892,18,0.50896913,2.213558539,0.000768541,0.017364006,Phase 0 - rapid depolarisation
R-HSA-5668914,187,0.254969876,2.201704328,0.000100543,0.017364006,Diseases of metabolism
R-HSA-8978868,130,0.265989912,2.137181842,0.000101906,0.017364006,Fatty acid metabolism
R-HSA-8863795,24,0.429219321,2.077221145,0.002203722,0.017364006,Downregulation of ERBB2 signaling
R-HSA-397014,111,0.26383023,2.051262009,0.000615258,0.017364006,Muscle contraction
R-HSA-1630316,96,0.270604707,2.028877708,0.00041365,0.017364006,Glycosaminoglycan metabolism
R-HSA-425407,147,0.242395991,1.999163487,0.000506945,0.017364006,SLC-mediated transmembrane transport
R-HSA-390918,27,0.404624925,2.042890484,0.00301823,0.017923597,Peroxisomal lipid metabolism
R-HSA-420029,17,0.481267402,2.048089126,0.003491078,0.019445494,Tight junction interactions
R-HSA-196849,97,0.249209636,1.873596395,0.003510221,0.019445494,Metabolism of water-soluble vitamins and cofactors
R-HSA-1250196,19,0.451453215,2.003123374,0.00405012,0.01985793,SHC1 events in ERBB2 signaling
R-HSA-5576891,68,0.272089776,1.866670685,0.004900394,0.02160996,Cardiac conduction
R-HSA-450282,31,0.370376827,1.964458905,0.005192966,0.022370671,MAPK targets/ Nuclear events mediated by MAP kinases
R-HSA-3781865,107,0.234444196,1.806547029,0.006575568,0.025915887,Diseases of glycosylation
R-HSA-112315,137,0.215431127,1.750666215,0.007111653,0.026767944,Transmission across Chemical Synapses
R-HSA-877300,73,0.259632087,1.813962618,0.007202627,0.026974133,Interferon gamma signaling
R-HSA-913531,160,0.204951102,1.721034722,0.007367784,0.027318098,Interferon Signaling
R-HSA-373760,82,0.250024112,1.801685764,0.007634386,0.028166469,L1CAM interactions
R-HSA-1227990,22,0.406121593,1.905042746,0.007703777,0.02828247,Signaling by ERBB2 in Cancer
R-HSA-3560782,34,0.340813849,1.864829215,0.008993226,0.031622719,Diseases associated with glycosaminoglycan metabolism
R-HSA-3296482,18,0.433476902,1.88523516,0.009606763,0.03330031,Defects in vitamin and cofactor metabolism
R-HSA-196854,143,0.209282712,1.715338668,0.009947219,0.034162653,Metabolism of vitamins and cofactors
R-HSA-112316,195,0.188641268,1.640173019,0.010245078,0.03486429,Neuronal System
R-HSA-419037,25,0.379958505,1.866588776,0.010486526,0.035394337,NCAM1 interactions
R-HSA-1227986,44,0.305235801,1.822045159,0.010614273,0.035394337,Signaling by ERBB2
R-HSA-198753,22,0.390049783,1.829652802,0.014040755,0.04266832,ERK/MAPK targets
R-HSA-2024096,19,0.406324711,1.802885658,0.014934818,0.04452148,HS-GAG degradation
R-HSA-9664565,21,0.391695706,1.804321065,0.015484515,0.045612802,Signaling by ERBB2 KD Mutants
R-HSA-1638091,40,0.303708029,1.758692604,0.015484459,0.045612802,Heparan sulfate/heparin (HS-GAG) metabolism
R-HSA-9659379,41,0.295483843,1.722982493,0.01826225,0.052346856,Sensory processing of sound
R-HSA-9753281,15,0.439675206,1.777364018,0.019017433,0.054302651,Paracetamol ADME
R-HSA-936837,37,0.308614669,1.737044522,0.01952403,0.055536412,Ion transport by P-type ATPases
R-HSA-421270,36,0.312192501,1.739414907,0.019623781,0.055607912,Cell-cell junction organization
R-HSA-75105,22,0.375335096,1.760628874,0.020626243,0.057892547,Fatty acyl-CoA biosynthesis
R-HSA-8848021,49,0.275578372,1.706778591,0.0212932,0.058557333,Signaling by PTK6
R-HSA-9006927,49,0.275578372,1.706778591,0.0212932,0.058557333,Signaling by Non-Receptor Tyrosine Kinases
R-HSA-1638074,28,0.34011169,1.740771328,0.021431992,0.058647504,Keratan sulfate/keratin metabolism
R-HSA-211859,116,0.209297896,1.64159025,0.021483376,0.058647504,Biological oxidations
R-HSA-1912408,28,0.337549504,1.727657457,0.022030651,0.059704119,Pre-NOTCH Transcription and Translation
R-HSA-70895,21,0.37742382,1.738578542,0.022477522,0.059951809,Branched-chain amino acid catabolism
R-HSA-983712,112,0.209822021,1.635647384,0.022622582,0.059951809,Ion channel transport
R-HSA-1793185,40,0.291922584,1.690446219,0.023682113,0.062145797,Chondroitin sulfate/dermatan sulfate metabolism
R-HSA-445095,17,0.405289441,1.724756121,0.024308249,0.0631221,Interaction between L1 and Ankyrins
R-HSA-2028269,18,0.39560971,1.720546887,0.024593314,0.063640592,Signaling by Hippo
R-HSA-375165,44,0.282065136,1.683732425,0.024841915,0.064061467,NCAM signaling for neurite out-growth
R-HSA-2142753,37,0.298767633,1.681620258,0.026571165,0.067816815,Arachidonic acid metabolism
R-HSA-166658,26,0.339507069,1.692196121,0.02669255,0.06789411,Complement cascade
R-HSA-8853659,29,0.326116115,1.690358169,0.027599334,0.069961791,RET signaling
R-HSA-6811558,81,0.225498217,1.620408167,0.029827316,0.07360662,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
R-HSA-9662360,39,0.287561193,1.649412827,0.0306566,0.0750193,Sensory processing of sound by inner hair cells of the cochlea
R-HSA-196807,22,0.357938616,1.679025141,0.0319334,0.077773811,Nicotinate metabolism
R-HSA-2219530,55,0.254890721,1.6409417,0.032501641,0.078899922,Constitutive Signaling by Aberrant PI3K in Cancer
R-HSA-198725,54,0.255222217,1.633848008,0.034369167,0.083162577,Nuclear Events (kinase and transcription factor activation)
R-HSA-114508,22,0.352976981,1.65575101,0.035536779,0.085158368,Effects of PIP2 hydrolysis
R-HSA-9665686,18,0.376909434,1.639217484,0.037530421,0.089647565,Signaling by ERBB2 TMD/JMD mutants
R-HSA-5654736,35,0.296110712,1.633546605,0.038209862,0.090978922,Signaling by FGFR1
R-HSA-450294,63,0.237917118,1.596758288,0.040012907,0.093713703,MAP kinase activation
R-HSA-199418,88,0.213680874,1.570843081,0.040095565,0.093713703,Negative regulation of the PI3K/AKT network
R-HSA-9694614,15,0.400393635,1.618570319,0.041336503,0.095082014,Attachment and Entry
R-HSA-425393,66,0.232715165,1.580855307,0.042446274,0.09733429,Transport of inorganic cations/anions and amino acids/oligopeptides
R-HSA-442742,22,0.342232223,1.605349298,0.044358847,0.100550868,CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling
R-HSA-381426,75,0.222809765,1.571108283,0.044793423,0.100550868,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
R-HSA-8957275,69,0.227961986,1.568352585,0.044742729,0.100550868,Post-translational protein phosphorylation
R-HSA-445355,36,0.28579723,1.59235075,0.045750116,0.101778734,Smooth Muscle Contraction
R-HSA-2219528,81,0.215128967,1.545895749,0.046467818,0.102457848,PI3K/AKT Signaling in Cancer
R-HSA-448424,67,0.228917421,1.563444773,0.047136611,0.103028641,Interleukin-17 signaling
R-HSA-2022854,22,0.338689195,1.588729596,0.047837972,0.104245258,Keratan sulfate biosynthesis
R-HSA-977606,22,0.337595157,1.583597662,0.048707753,0.105831178,Regulation of Complement cascade
R-HSA-211945,56,0.241142781,1.561312657,0.052096986,0.10989603,Phase I - Functionalization of compounds
R-HSA-442755,59,0.235374091,1.548051324,0.054567151,0.11391285,Activation of NMDA receptors and postsynaptic events
R-HSA-5579029,21,0.338509695,1.559323127,0.055194805,0.11490127,Metabolic disorders of biological oxidation enzymes
R-HSA-112310,23,0.322899026,1.540461163,0.060061538,0.123993495,Neurotransmitter release cycle
R-HSA-2022928,22,0.32796039,1.538402716,0.061630219,0.125351222,HS-GAG biosynthesis
R-HSA-186712,20,0.340209024,1.539956577,0.062680206,0.126938174,Regulation of beta-cell development
R-HSA-3560783,15,0.376938453,1.523753974,0.064844163,0.130964676,"Defective B4GALT7 causes EDS, progeroid type"
R-HSA-9709957,116,0.185841199,1.457611886,0.066393862,0.13373216,Sensory Perception
R-HSA-425397,29,0.292910595,1.518243946,0.067332857,0.134532702,"Transport of vitamins, nucleosides, and related molecules"
R-HSA-5654687,18,0.347741066,1.512361285,0.070321506,0.138279757,Downstream signaling of activated FGFR1
R-HSA-438064,54,0.235117907,1.50514688,0.070056001,0.138279757,Post NMDA receptor activation events
